entity	part	model_id	spend	value	imps
1640269244	2	1	1.921717953	17.12210279	776
1648523730	0	2	1.932289668	4.621649555	935
1737599624	3	2	2.341051182	6.88821978	610
1739646036	2	1	2.745876009	6.626522727	915
1776972132	1	2	1.41241244	43.19457225	491
1864292586	1	1	3.134695276	0	2343
1866504786	1	1	2.58805717	5.438287121	666
1868829530	0	2	2.882511762	0	1025
1880617910	3	1	2.504332517	0	757
1883789370	4	2	2.443724834	4.516780003	550
1902196274	1	1	1.947859517	11.59422851	833
1902198998	2	2	2.165920516	1.626578633	265
1915481122	4	2	0.918358599	11.35275379	541
1932159484	2	1	1.011924033	5.711534701	306
1933398600	4	1	2.716170032	7.911678394	563
1952271094	2	2	1.758224691	14.11596682	571
1954831222	3	1	102.8140452	347.485722	32206
1960325882	4	2	3.080663562	0	951
2237602714	4	2	3.654567972	20.03854663	1175
2273086162	1	1	1.77817795	0	567
2416992656	0	1	1.301996835	0	349
2429476664	0	1	13.05687895	16.04047976	2101
2499323698	1	1	1.566492531	0	369
2542611264	0	1	2.195437052	0	899
2545390924	1	2	10.23842617	0	4140
2545392182	2	2	80.48958231	41.44702255	34216
2561426860	2	1	0.094129599	0	200
2568916578	4	2	23.36081936	9.408591742	18410
2601979200	4	1	0.891882041	0	342
2623356370	1	1	1.961586972	7.244607647	656
2671489648	3	2	35.52406949	155.6799548	9827
2680487462	2	2	0.763972533	11.37797348	301
2705152812	2	1	0.410917101	0	232
2730392158	2	2	1.22466903	8.985778207	245
2817056594	4	2	1.306497255	0	239
2822137864	4	1	7.963850196	31.34132065	2584
2823499264	4	1	86.37298554	199.0126875	39622
2977213258	0	2	48.83876469	67.82577017	58033
2988902904	3	2	2.789932585	11.15817444	797
3005047440	4	1	3.284724948	12.70247216	780
3037085760	0	1	32.56952723	76.05394915	6520
3037087734	3	1	9.319427767	0	4682
3038395226	0	2	1.775459844	6.772670373	712
3038542134	3	1	1.058396829	0	246
3038677560	0	1	67.49807002	372.8811064	18250
3038958418	1	1	37.60693882	34.20271239	23670
3038961200	3	2	1.153672446	0	357
3038977284	1	2	412.7087286	641.6217536	132683
3038995458	4	2	52.49823484	330.6144519	91519
3040706620	1	2	0.375110554	0	219
3041150020	1	2	1.387560107	0	25281
3041836812	2	1	2.21852802	0	678
3089056624	4	1	31.70991475	34.51318702	53834
3115417932	1	2	1.371582166	0	295
3168933564	1	2	129.3072551	150.3683693	40796
3195426702	2	2	61.28206466	23.11657256	12363
3200008424	4	1	98.06414771	151.9231158	212527
3200010490	4	2	1.299567183	0	173
3200010708	2	1	1247.36724	2065.283877	126462
3200013592	0	1	0.192843429	0.172351701	288
3200016224	4	1	0.008720208	0.008405507	60
3200028374	2	2	0.389167709	0	349
3200031258	0	2	26.18951589	730.0723886	68998
3200033116	1	2	6.075343034	9.466778397	7865
3200034050	1	1	11.03941528	6.031148745	2532
3200043050	1	1	71.19030729	50.27748355	10076
3200051508	2	1	2.572716461	0	591
3200051566	3	1	15.14903448	12.40615968	953
3200062424	4	1	1.725193405	0	285
